NOT RELIGIOUS HATE	проблемът е, че образованите и църквата винаги са представлявали нищожен процент от населението на земята. днес образованите са повече, но останалите идиоти получиха достъп до интернет и конспирациите им достигнаха и до нашето знание. [URL]
NOT RELIGIOUS HATE	27% от британските мюсюлмани симпатизират на терористите от париж [URL] [URL]
NOT RELIGIOUS HATE	не всеки мюсюлманин е терорист, но защо всеки терорист е мюсюлманин???
NOT RELIGIOUS HATE	и датската католическа църква ще разследва педофили: и датската католическа църква започва да разследва случаи на ... [URL]
NOT RELIGIOUS HATE	сега с този взрив в бургас ще ме е страх да кажа, че съм мюсюлманин. ще ни съсипят заради някой идиот!
NOT RELIGIOUS HATE	и не знаем дали зло е поискано за онези, които са на земята, или техният господ е поискал добро за ... [URL] #корана 72:10
NOT RELIGIOUS HATE	псалми 91:10-11 библия, нов превод от оригиналните езици (с неканоничните книги)   10 зло няма да те сполети и мъка няма да се приближи до твоето жилище, 11 защото той ще заповяда на ангелите си за тебе... [URL]
NOT RELIGIOUS HATE	расист уби 9 души в прочута църква на чернокожи в сащ [URL]
NOT RELIGIOUS HATE	"[USER] [USER] [USER] [USER] разбира се – борис е ""голям държавник"", ""спасил българските евреи"", но 11-те хиляди от македония, закарани в треблина във вагони за добитък, на които пише ""бдж"" може би тодар ги е возил...  просто терорът – или по-точно ""разчистването"" – след св. неделя е особено отвратителен"
NOT RELIGIOUS HATE	християните в сирия гневни на руската православна църква [URL]
NOT RELIGIOUS HATE	и ще бъде изложена книгата [на делата]. тогава ще видиш престъпниците в уплах от онова, което е в н... [URL] #корана 18:49
NOT RELIGIOUS HATE	за заложници. ислямски терористи взели християнски свещеници за заложници, налагат ги с камшик и крещят аллах акбар. големи са неверници.
NOT RELIGIOUS HATE	[USER] тихо, че ако се разчуе, половин задлъжняла българия, мразеща до смърт банките, ще вземе да приеме исляма :)
NOT RELIGIOUS HATE	гей героят в красавицата и звяра предизвика гнева на християни всащ и русия [URL] via [USER] приказки за (не)пораснали ☺
NOT RELIGIOUS HATE	осъдителна декларация на коптската православна патриаршия на александрия относно екзекуцията на християнин от терористи на ислямска държава | video &amp; снимки [URL]
NOT RELIGIOUS HATE	френската католическа църква лиши от духовен сан свещеник педофил [URL]
